  t   A   B   C   D   E   F   G   H   I   J   K   L   M   N   O   P   Q   R   S   T   U   V   W   X   Y   Z
512   0   0   0   0   0   0   0   0   0   0   0   0   0 314   1   1   1   1   1 126  21   1   1   1   1 529
513   0   0   0   0   0   0   0   0   0   0   0   0   0 313   1   1   1   1   1 126  21   1   1   1   1 530
514   0   0   0   0   0   0   0   0   0   0   0   0   0 312   1   1   1   1   1 126  21   1   1   1   1 531
515   0   0   0   0   0   0   0   0   0   0   0   0   0 311   1   1   1   1   1 126  21   1   1   1   1 532
516   0   0   0   0   0   0   0   0   0   0   0   0   0 310   1   1   1   1   1 126  21   1   1   1   1 533
517   0   0   0   0   0   0   0   0   0   0   0   0   0 309   1   1   1   1   1 126  21   1   1   1   1 534
518   0   0   0   0   0   0   0   0   0   0   0   0   0 308   1   1   1   1   1 126  21   1   1   1   1 535
519   0   0   0   0   0   0   0   0   0   0   0   0   0 307   1   1   1   1   1 126  21   1   1   1   1 536
520   0   0   0   0   0   0   0   0   0   0   0   0   0 306   1   1   1   1   1 126  21   1   1   1   1 537
521   0   0   0   0   0   0   0   0   0   0   0   0   0 305   1   1   1   1   1 126  21   1   1   1   1 538
522   0   0   0   0   0   0   0   0   0   0   0   0   0 304   1   1   1   1   1 126  21   1   1   1   1 539
523   0   0   0   0   0   0   0   0   0   0   0   0   0 303   1   1   1   1   1 126  21   1   1   1   1 540
524   0   0   0   0   0   0   0   0   0   0   0   0   0 302   1   1   1   1   1 126  21   1   1   1   1 541
525   0   0   0   0   0   0   0   0   0   0   0   0   0 301   1   1   1   1   1 126  21   1   1   1   1 542
526   0   0   0   0   0   0   0   0   0   0   0   0   0 300   1   1   1   1   1 126  21   1   1   1   1 543
527   0   0   0   0   0   0   0   0   0   0   0   0   0 299   1   1   1   1   1 126  21   1   1   1   1 544
528   0   0   0   0   0   0   0   0   0   0   0   0   0 298   1   1   1   1   1 126  21   1   1   1   1 545
529   0   0   0   0   0   0   0   0   0   0   0   0   0 297   1   1   1   1   1 126  21   1   1   1   1 546
530   0   0   0   0   0   0   0   0   0   0   0   0   0 296   1   1   1   1   1 126  21   1   1   1   1 547
531   0   0   0   0   0   0   0   0   0   0   0   0   0 295   1   1   1   1   1 126  21   1   1   1   1 548
532   0   0   0   0   0   0   0   0   0   0   0   0   0 294   1   1   1   1   1 126  21   1   1   1   1 549
533   0   0   0   0   0   0   0   0   0   0   0   0   0 293   1   1   1   1   1 126  21   1   1   1   1 550
534   0   0   0   0   0   0   0   0   0   0   0   0   0 292   1   1   1   1   1 126  21   1   1   1   1 551
535   0   0   0   0   0   0   0   0   0   0   0   0   0 291   1   1   1   1   1 126  21   1   1   1   1 552
536   0   0   0   0   0   0   0   0   0   0   0   0   0 290   1   1   1   1   1 126  21   1   1   1   1 553
537   0   0   0   0   0   0   0   0   0   0   0   0   0 289   1   1   1   1   1 126  21   1   1   1   1 554
538   0   0   0   0   0   0   0   0   0   0   0   0   0 288   1   1   1   1   1 126  21   1   1   1   1 555
539   0   0   0   0   0   0   0   0   0   0   0   0   0 287   1   1   1   1   1 126  21   1   1   1   1 556
540   0   0   0   0   0   0   0   0   0   0   0   0   0 286   1   1   1   1   1 126  21   1   1   1   1 557
541   0   0   0   0   0   0   0   0   0   0   0   0   0 285   1   1   1   1   1 126  21   1   1   1   1 558
542   0   0   0   0   0   0   0   0   0   0   0   0   0 284   1   1   1   1   1 126  21   1   1   1   1 559
543   0   0   0   0   0   0   0   0   0   0   0   0   0 283   1   1   1   1   1 126  21   1   1   1   1 560
544   0   0   0   0   0   0   0   0   0   0   0   0   0 282   1   1   1   1   1 126  21   1   1   1   1 561
545   0   0   0   0   0   0   0   0   0   0   0   0   0 281   1   1   1   1   1 126  21   1   1   1   1 562
546   0   0   0   0   0   0   0   0   0   0   0   0   0 280   1   1   1   1   1 126  21   1   1   1   1 563
547   0   0   0   0   0   0   0   0   0   0   0   0   0 279   1   1   1   1   1 126  21   1   1   1   1 564
548   0   0   0   0   0   0   0   0   0   0   0   0   0 278   1   1   1   1   1 126  21   1   1   1   1 565
549   0   0   0   0   0   0   0   0   0   0   0   0   0 277   1   1   1   1   1 126  21   1   1   1   1 566
550   0   0   0   0   0   0   0   0   0   0   0   0   0 276   1   1   1   1   1 126  21   1   1   1   1 567
551   0   0   0   0   0   0   0   0   0   0   0   0   0 275   1   1   1   1   1 126  21   1   1   1   1 568
552   0   0   0   0   0   0   0   0   0   0   0   0   0 274   1   1   1   1   1 126  21   1   1   1   1 569
553   0   0   0   0   0   0   0   0   0   0   0   0   0 273   1   1   1   1   1 126  21   1   1   1   1 570
554   0   0   0   0   0   0   0   0   0   0   0   0   0 272   1   1   1   1   1 126  21   1   1   1   1 571
555   0   0   0   0   0   0   0   0   0   0   0   0   0 271   1   1   1   1   1 126  21   1   1   1   1 572
556   0   0   0   0   0   0   0   0   0   0   0   0   0 270   1   1   1   1   1 126  21   1   1   1   1 573
557   0   0   0   0   0   0   0   0   0   0   0   0   0 269   1   1   1   1   1 126  21   1   1   1   1 574
558   0   0   0   0   0   0   0   0   0   0   0   0   0 268   1   1   1   1   1 126  21   1   1   1   1 575
559   0   0   0   0   0   0   0   0   0   0   0   0   0 267   1   1   1   1   1 126  21   1   1   1   1 576
560   0   0   0   0   0   0   0   0   0   0   0   0   0 266   1   1   1   1   1 126  21   1   1   1   1 577
561   0   0   0   0   0   0   0   0   0   0   0   0   0 265   1   1   1   1   1 126  21   1   1   1   1 578
562   0   0   0   0   0   0   0   0   0   0   0   0   0 264   1   1   1   1   1 126  21   1   1   1   1 579
563   0   0   0   0   0   0   0   0   0   0   0   0   0 263   1   1   1   1   1 126  21   1   1   1   1 580
564   0   0   0   0   0   0   0   0   0   0   0   0   0 262   1   1   1   1   1 126  21   1   1   1   1 581
565   0   0   0   0   0   0   0   0   0   0   0   0   0 261   1   1   1   1   1 126  21   1   1   1   1 582
566   0   0   0   0   0   0   0   0   0   0   0   0   0 260   1   1   1   1   1 126  21   1   1   1   1 583
567   0   0   0   0   0   0   0   0   0   0   0   0   0 259   1   1   1   1   1 126  21   1   1   1   1 584
568   0   0   0   0   0   0   0   0   0   0   0   0   0 258   1   1   1   1   1 126  21   1   1   1   1 585
569   0   0   0   0   0   0   0   0   0   0   0   0   0 257   1   1   1   1   1 126  21   1   1   1   1 586
570   0   0   0   0   0   0   0   0   0   0   0   0   0 256   1   1   1   1   1 126  21   1   1   1   1 587
571   0   0   0   0   0   0   0   0   0   0   0   0   0 255   1   1   1   1   1 126  21   1   1   1   1 588
572   0   0   0   0   0   0   0   0   0   0   0   0   0 254   1   1   1   1   1 126  21   1   1   1   1 589
573   0   0   0   0   0   0   0   0   0   0   0   0   0 253   1   1   1   1   1 126  21   1   1   1   1 590
574   0   0   0   0   0   0   0   0   0   0   0   0   0 252   1   1   1   1   1 126  21   1   1   1   1 591
575   0   0   0   0   0   0   0   0   0   0   0   0   0 251   1   1   1   1   1 126  21   1   1   1   1 592
576   0   0   0   0   0   0   0   0   0   0   0   0   0 250   1   1   1   1   1 126  21   1   1   1   1 593
577   0   0   0   0   0   0   0   0   0   0   0   0   0 249   1   1   1   1   1 126  21   1   1   1   1 594
578   0   0   0   0   0   0   0   0   0   0   0   0   0 248   1   1   1   1   1 126  21   1   1   1   1 595
579   0   0   0   0   0   0   0   0   0   0   0   0   0 247   1   1   1   1   1 126  21   1   1   1   1 596
580   0   0   0   0   0   0   0   0   0   0   0   0   0 246   1   1   1   1   1 126  21   1   1   1   1 597
581   0   0   0   0   0   0   0   0   0   0   0   0   0 245   1   1   1   1   1 126  21   1   1   1   1 598
582   0   0   0   0   0   0   0   0   0   0   0   0   0 244   1   1   1   1   1 126  21   1   1   1   1 599
583   0   0   0   0   0   0   0   0   0   0   0   0   0 243   1   1   1   1   1 126  21   1   1   1   1 600
584   0   0   0   0   0   0   0   0   0   0   0   0   0 242   1   1   1   1   1 126  21   1   1   1   1 601
585   0   0   0   0   0   0   0   0   0   0   0   0   0 241   1   1   1   1   1 126  21   1   1   1   1 602
586   0   0   0   0   0   0   0   0   0   0   0   0   0 240   1   1   1   1   1 126  21   1   1   1   1 603
587   0   0   0   0   0   0   0   0   0   0   0   0   0 239   1   1   1   1   1 126  21   1   1   1   1 604
588   0   0   0   0   0   0   0   0   0   0   0   0   0 238   1   1   1   1   1 126  21   1   1   1   1 605
589   0   0   0   0   0   0   0   0   0   0   0   0   0 237   1   1   1   1   1 126  21   1   1   1   1 606
590   0   0   0   0   0   0   0   0   0   0   0   0   0 236   1   1   1   1   1 126  21   1   1   1   1 607
591   0   0   0   0   0   0   0   0   0   0   0   0   0 235   1   1   1   1   1 126  21   1   1   1   1 608
592   0   0   0   0   0   0   0   0   0   0   0   0   0 234   1   1   1   1   1 126  21   1   1   1   1 609
593   0   0   0   0   0   0   0   0   0   0   0   0   0 233   1   1   1   1   1 126  21   1   1   1   1 610
594   0   0   0   0   0   0   0   0   0   0   0   0   0 232   1   1   1   1   1 126  21   1   1   1   1 611
595   0   0   0   0   0   0   0   0   0   0   0   0   0 231   1   1   1   1   1 126  21   1   1   1   1 612
596   0   0   0   0   0   0   0   0   0   0   0   0   0 230   1   1   1   1   1 126  21   1   1   1   1 613
597   0   0   0   0   0   0   0   0   0   0   0   0   0 229   1   1   1   1   1 126  21   1   1   1   1 614
598   0   0   0   0   0   0   0   0   0   0   0   0   0 228   1   1   1   1   1 126  21   1   1   1   1 615
599   0   0   0   0   0   0   0   0   0   0   0   0   0 227   1   1   1   1   1 126  21   1   1   1   1 616
600   0   0   0   0   0   0   0   0   0   0   0   0   0 226   1   1   1   1   1 126  21   1   1   1   1 617
601   0   0   0   0   0   0   0   0   0   0   0   0   0 225   1   1   1   1   1 126  21   1   1   1   1 618
602   0   0   0   0   0   0   0   0   0   0   0   0   0 224   1   1   1   1   1 126  21   1   1   1   1 619
603   0   0   0   0   0   0   0   0   0   0   0   0   0 223   1   1   1   1   1 126  21   1   1   1   1 620
604   0   0   0   0   0   0   0   0   0   0   0   0   0 222   1   1   1   1   1 126  21   1   1   1   1 621
605   0   0   0   0   0   0   0   0   0   0   0   0   0 221   1   1   1   1   1 126  21   1   1   1   1 622
606   0   0   0   0   0   0   0   0   0   0   0   0   0 220   1   1   1   1   1 126  21   1   1   1   1 623
607   0   0   0   0   0   0   0   0   0   0   0   0   0 219   1   1   1   1   1 126  21   1   1   1   1 624
608   0   0   0   0   0   0   0   0   0   0   0   0   0 218   1   1   1   1   1 126  21   1   1   1   1 625
609   0   0   0   0   0   0   0   0   0   0   0   0   0 217   1   1   1   1   1 126  21   1   1   1   1 626
610   0   0   0   0   0   0   0   0   0   0   0   0   0 216   1   1   1   1   1 126  21   1   1   1   1 627
611   0   0   0   0   0   0   0   0   0   0   0   0   0 215   1   1   1   1   1 126  21   1   1   1   1 628
612   0   0   0   0   0   0   0   0   0   0   0   0   0 214   1   1   1   1   1 126  21   1   1   1   1 629
613   0   0   0   0   0   0   0   0   0   0   0   0   0 213   1   1   1   1   1 126  21   1   1   1   1 630
614   0   0   0   0   0   0   0   0   0   0   0   0   0 212   1   1   1   1   1 126  21   1   1   1   1 631
615   0   0   0   0   0   0   0   0   0   0   0   0   0 211   1   1   1   1   1 126  21   1   1   1   1 632
616   0   0   0   0   0   0   0   0   0   0   0   0   0 210   1   1   1   1   1 126  21   1   1   1   1 633
617   0   0   0   0   0   0   0   0   0   0   0   0   0 209   1   1   1   1   1 126  21   1   1   1   1 634
618   0   0   0   0   0   0   0   0   0   0   0   0   0 208   1   1   1   1   1 126  21   1   1   1   1 635
619   0   0   0   0   0   0   0   0   0   0   0   0   0 207   1   1   1   1   1 126  21   1   1   1   1 636
620   0   0   0   0   0   0   0   0   0   0   0   0   0 206   1   1   1   1   1 126  21   1   1   1   1 637
621   0   0   0   0   0   0   0   0   0   0   0   0   0 205   1   1   1   1   1 126  21   1   1   1   1 638
622   0   0   0   0   0   0   0   0   0   0   0   0   0 204   1   1   1   1   1 126  21   1   1   1   1 639
623   0   0   0   0   0   0   0   0   0   0   0   0   0 203   1   1   1   1   1 126  21   1   1   1   1 640
624   0   0   0   0   0   0   0   0   0   0   0   0   0 202   1   1   1   1   1 126  21   1   1   1   1 641
625   0   0   0   0   0   0   0   0   0   0   0   0   0 201   1   1   1   1   1 126  21   1   1   1   1 642
626   0   0   0   0   0   0   0   0   0   0   0   0   0 200   1   1   1   1   1 126  21   1   1   1   1 643
627   0   0   0   0   0   0   0   0   0   0   0   0   0 199   1   1   1   1   1 126  21   1   1   1   1 644
628   0   0   0   0   0   0   0   0   0   0   0   0   0 198   1   1   1   1   1 126  21   1   1   1   1 645
629   0   0   0   0   0   0   0   0   0   0   0   0   0 197   1   1   1   1   1 126  21   1   1   1   1 646
630   0   0   0   0   0   0   0   0   0   0   0   0   0 196   1   1   1   1   1 126  21   1   1   1   1 647
631   0   0   0   0   0   0   0   0   0   0   0   0   0 195   1   1   1   1   1 126  21   1   1   1   1 648
632   0   0   0   0   0   0   0   0   0   0   0   0   0 194   1   1   1   1   1 126  21   1   1   1   1 649
633   0   0   0   0   0   0   0   0   0   0   0   0   0 193   1   1   1   1   1 126  21   1   1   1   1 650
634   0   0   0   0   0   0   0   0   0   0   0   0   0 192   1   1   1   1   1 126  21   1   1   1   1 651
635   0   0   0   0   0   0   0   0   0   0   0   0   0 191   1   1   1   1   1 126  21   1   1   1   1 652
636   0   0   0   0   0   0   0   0   0   0   0   0   0 190   1   1   1   1   1 126  21   1   1   1   1 653
637   0   0   0   0   0   0   0   0   0   0   0   0   0 189   1   1   1   1   1 126  21   1   1   1   1 654
638   0   0   0   0   0   0   0   0   0   0   0   0   0 188   1   1   1   1   1 126  21   1   1   1   1 655
639   0   0   0   0   0   0   0   0   0   0   0   0   0 187   1   1   1   1   1 126  21   1   1   1   1 656
640   0   0   0   0   0   0   0   0   0   0   0   0   0 186   1   1   1   1   1 126  21   1   1   1   1 657
641   0   0   0   0   0   0   0   0   0   0   0   0   0 185   1   1   1   1   1 126  21   1   1   1   1 658
642   0   0   0   0   0   0   0   0   0   0   0   0   0 184   1   1   1   1   1 126  21   1   1   1   1 659
643   0   0   0   0   0   0   0   0   0   0   0   0   0 183   1   1   1   1   1 126  21   1   1   1   1 660
644   0   0   0   0   0   0   0   0   0   0   0   0   0 182   1   1   1   1   1 126  21   1   1   1   1 661
645   0   0   0   0   0   0   0   0   0   0   0   0   0 181   1   1   1   1   1 126  21   1   1   1   1 662
646   0   0   0   0   0   0   0   0   0   0   0   0   0 180   1   1   1   1   1 126  21   1   1   1   1 663
647   0   0   0   0   0   0   0   0   0   0   0   0   0 179   1   1   1   1   1 126  21   1   1   1   1 664
648   0   0   0   0   0   0   0   0   0   0   0   0   0 178   1   1   1   1   1 126  21   1   1   1   1 665
649   0   0   0   0   0   0   0   0   0   0   0   0   0 177   1   1   1   1   1 126  21   1   1   1   1 666
650   0   0   0   0   0   0   0   0   0   0   0   0   0 176   1   1   1   1   1 126  21   1   1   1   1 667
651   0   0   0   0   0   0   0   0   0   0   0   0   0 175   1   1   1   1   1 126  21   1   1   1   1 668
652   0   0   0   0   0   0   0   0   0   0   0   0   0 174   1   1   1   1   1 126  21   1   1   1   1 669
653   0   0   0   0   0   0   0   0   0   0   0   0   0 173   1   1   1   1   1 126  21   1   1   1   1 670
654   0   0   0   0   0   0   0   0   0   0   0   0   0 172   1   1   1   1   1 126  21   1   1   1   1 671
655   0   0   0   0   0   0   0   0   0   0   0   0   0 171   1   1   1   1   1 126  21   1   1   1   1 672
656   0   0   0   0   0   0   0   0   0   0   0   0   0 170   1   1   1   1   1 126  21   1   1   1   1 673
657   0   0   0   0   0   0   0   0   0   0   0   0   0 169   1   1   1   1   1 126  21   1   1   1   1 674
658   0   0   0   0   0   0   0   0   0   0   0   0   0 168   1   1   1   1   1 126  21   1   1   1   1 675
659   0   0   0   0   0   0   0   0   0   0   0   0   0 167   1   1   1   1   1 126  21   1   1   1   1 676
660   0   0   0   0   0   0   0   0   0   0   0   0   0 166   1   1   1   1   1 126  21   1   1   1   1 677
661   0   0   0   0   0   0   0   0   0   0   0   0   0 165   1   1   1   1   1 126  21   1   1   1   1 678
662   0   0   0   0   0   0   0   0   0   0   0   0   0 164   1   1   1   1   1 126  21   1   1   1   1 679
663   0   0   0   0   0   0   0   0   0   0   0   0   0 163   1   1   1   1   1 126  21   1   1   1   1 680
664   0   0   0   0   0   0   0   0   0   0   0   0   0 162   1   1   1   1   1 126  21   1   1   1   1 681
665   0   0   0   0   0   0   0   0   0   0   0   0   0 161   1   1   1   1   1 126  21   1   1   1   1 682
666   0   0   0   0   0   0   0   0   0   0   0   0   0 160   1   1   1   1   1 126  21   1   1   1   1 683
667   0   0   0   0   0   0   0   0   0   0   0   0   0 159   1   1   1   1   1 126  21   1   1   1   1 684
668   0   0   0   0   0   0   0   0   0   0   0   0   0 158   1   1   1   1   1 126  21   1   1   1   1 685
669   0   0   0   0   0   0   0   0   0   0   0   0   0 157   1   1   1   1   1 126  21   1   1   1   1 686
670   0   0   0   0   0   0   0   0   0   0   0   0   0 156   1   1   1   1   1 126  21   1   1   1   1 687
671   0   0   0   0   0   0   0   0   0   0   0   0   0 155   1   1   1   1   1 126  21   1   1   1   1 688
672   0   0   0   0   0   0   0   0   0   0   0   0   0 154   1   1   1   1   1 126  21   1   1   1   1 689
673   0   0   0   0   0   0   0   0   0   0   0   0   0 153   1   1   1   1   1 126  21   1   1   1   1 690
674   0   0   0   0   0   0   0   0   0   0   0   0   0 152   1   1   1   1   1 126  21   1   1   1   1 691
675   0   0   0   0   0   0   0   0   0   0   0   0   0 151   1   1   1   1   1 126  21   1   1   1   1 692
676   0   0   0   0   0   0   0   0   0   0   0   0   0 150   1   1   1   1   1 126  21   1   1   1   1 693
677   0   0   0   0   0   0   0   0   0   0   0   0   0 149   1   1   1   1   1 126  21   1   1   1   1 694
678   0   0   0   0   0   0   0   0   0   0   0   0   0 148   1   1   1   1   1 126  21   1   1   1   1 695
679   0   0   0   0   0   0   0   0   0   0   0   0   0 147   1   1   1   1   1 126  21   1   1   1   1 696
680   0   0   0   0   0   0   0   0   0   0   0   0   0 146   1   1   1   1   1 126  21   1   1   1   1 697
681   0   0   0   0   0   0   0   0   0   0   0   0   0 145   1   1   1   1   1 126  21   1   1   1   1 698
682   0   0   0   0   0   0   0   0   0   0   0   0   0 144   1   1   1   1   1 126  21   1   1   1   1 699
683   0   0   0   0   0   0   0   0   0   0   0   0   0 143   1   1   1   1   1 126  21   1   1   1   1 700
684   0   0   0   0   0   0   0   0   0   0   0   0   0 142   1   1   1   1   1 126  21   1   1   1   1 701
685   0   0   0   0   0   0   0   0   0   0   0   0   0 141   1   1   1   1   1 126  21   1   1   1   1 702
686   0   0   0   0   0   0   0   0   0   0   0   0   0 140   1   1   1   1   1 126  21   1   1   1   1 703
687   0   0   0   0   0   0   0   0   0   0   0   0   0 139   1   1   1   1   1 126  21   1   1   1   1 704
688   0   0   0   0   0   0   0   0   0   0   0   0   0 138   1   1   1   1   1 126  21   1   1   1   1 705
689   0   0   0   0   0   0   0   0   0   0   0   0   0 137   1   1   1   1   1 126  21   1   1   1   1 706
690   0   0   0   0   0   0   0   0   0   0   0   0   0 136   1   1   1   1   1 126  21   1   1   1   1 707
691   0   0   0   0   0   0   0   0   0   0   0   0   0 135   1   1   1   1   1 126  21   1   1   1   1 708
692   0   0   0   0   0   0   0   0   0   0   0   0   0 134   1   1   1   1   1 126  21   1   1   1   1 709
693   0   0   0   0   0   0   0   0   0   0   0   0   0 133   1   1   1   1   1 126  21   1   1   1   1 710
694   0   0   0   0   0   0   0   0   0   0   0   0   0 132   1   1   1   1   1 126  21   1   1   1   1 711
695   0   0   0   0   0   0   0   0   0   0   0   0   0 131   1   1   1   1   1 126  21   1   1   1   1 712
696   0   0   0   0   0   0   0   0   0   0   0   0   0 130   1   1   1   1   1 126  21   1   1   1   1 713
697   0   0   0   0   0   0   0   0   0   0   0   0   0 129   1   1   1   1   1 126  21   1   1   1   1 714
698   0   0   0   0   0   0   0   0   0   0   0   0   0 128   1   1   1   1   1 126  21   1   1   1   1 715
699   0   0   0   0   0   0   0   0   0   0   0   0   0 127   1   1   1   1   1 126  21   1   1   1   1 716
700   0   0   0   0   0   0   0   0   0   0   0   0   0 126   1   1   1   1   1 126  21   1   1   1   1 717
701   0   0   0   0   0   0   0   0   0   0   0   0   0 125   1   1   1   1   1 126  21   1   1   1   1 718
702   0   0   0   0   0   0   0   0   0   0   0   0   0 124   1   1   1   1   1 126  21   1   1   1   1 719
703   0   0   0   0   0   0   0   0   0   0   0   0   0 123   1   1   1   1   1 126  21   1   1   1   1 720
704   0   0   0   0   0   0   0   0   0   0   0   0   0 122   1   1   1   1   1 126  21   1   1   1   1 721
705   0   0   0   0   0   0   0   0   0   0   0   0   0 121   1   1   1   1   1 126  21   1   1   1   1 722
706   0   0   0   0   0   0   0   0   0   0   0   0   0 120   1   1   1   1   1 126  21   1   1   1   1 723
707   0   0   0   0   0   0   0   0   0   0   0   0   0 119   1   1   1   1   1 126  21   1   1   1   1 724
708   0   0   0   0   0   0   0   0   0   0   0   0   0 118   1   1   1   1   1 126  21   1   1   1   1 725
709   0   0   0   0   0   0   0   0   0   0   0   0   0 117   1   1   1   1   1 126  21   1   1   1   1 726
710   0   0   0   0   0   0   0   0   0   0   0   0   0 116   1   1   1   1   1 126  21   1   1   1   1 727
711   0   0   0   0   0   0   0   0   0   0   0   0   0 115   1   1   1   1   1 126  21   1   1   1   1 728
712   0   0   0   0   0   0   0   0   0   0   0   0   0 114   1   1   1   1   1 126  21   1   1   1   1 729
713   0   0   0   0   0   0   0   0   0   0   0   0   0 113   1   1   1   1   1 126  21   1   1   1   1 730
714   0   0   0   0   0   0   0   0   0   0   0   0   0 112   1   1   1   1   1 126  21   1   1   1   1 731
715   0   0   0   0   0   0   0   0   0   0   0   0   0 111   1   1   1   1   1 126  21   1   1   1   1 732
716   0   0   0   0   0   0   0   0   0   0   0   0   0 110   1   1   1   1   1 126  21   1   1   1   1 733
717   0   0   0   0   0   0   0   0   0   0   0   0   0 109   1   1   1   1   1 126  21   1   1   1   1 734
718   0   0   0   0   0   0   0   0   0   0   0   0   0 108   1   1   1   1   1 126  21   1   1   1   1 735
719   0   0   0   0   0   0   0   0   0   0   0   0   0 107   1   1   1   1   1 126  21   1   1   1   1 736
720   0   0   0   0   0   0   0   0   0   0   0   0   0 106   1   1   1   1   1 126  21   1   1   1   1 737
721   0   0   0   0   0   0   0   0   0   0   0   0   0 105   1   1   1   1   1 126  21   1   1   1   1 738
722   0   0   0   0   0   0   0   0   0   0   0   0   0 104   1   1   1   1   1 126  21   1   1   1   1 739
723   0   0   0   0   0   0   0   0   0   0   0   0   0 103   1   1   1   1   1 126  21   1   1   1   1 740
724   0   0   0   0   0   0   0   0   0   0   0   0   0 102   1   1   1   1   1 126  21   1   1   1   1 741
725   0   0   0   0   0   0   0   0   0   0   0   0   0 101   1   1   1   1   1 126  21   1   1   1   1 742
726   0   0   0   0   0   0   0   0   0   0   0   0   0 100   1   1   1   1   1 126  21   1   1   1   1 743
727   0   0   0   0   0   0   0   0   0   0   0   0   0  99   1   1   1   1   1 126  21   1   1   1   1 744
728   0   0   0   0   0   0   0   0   0   0   0   0   0  98   1   1   1   1   1 126  21   1   1   1   1 745
729   0   0   0   0   0   0   0   0   0   0   0   0   0  97   1   1   1   1   1 126  21   1   1   1   1 746
730   0   0   0   0   0   0   0   0   0   0   0   0   0  96   1   1   1   1   1 126  21   1   1   1   1 747
731   0   0   0   0   0   0   0   0   0   0   0   0   0  95   1   1   1   1   1 126  21   1   1   1   1 748
732   0   0   0   0   0   0   0   0   0   0   0   0   0  94   1   1   1   1   1 126  21   1   1   1   1 749
733   0   0   0   0   0   0   0   0   0   0   0   0   0  93   1   1   1   1   1 126  21   1   1   1   1 750
734   0   0   0   0   0   0   0   0   0   0   0   0   0  92   1   1   1   1   1 126  21   1   1   1   1 751
735   0   0   0   0   0   0   0   0   0   0   0   0   0  91   1   1   1   1   1 126  21   1   1   1   1 752
736   0   0   0   0   0   0   0   0   0   0   0   0   0  90   1   1   1   1   1 126  21   1   1   1   1 753
737   0   0   0   0   0   0   0   0   0   0   0   0   0  89   1   1   1   1   1 126  21   1   1   1   1 754
738   0   0   0   0   0   0   0   0   0   0   0   0   0  88   1   1   1   1   1 126  21   1   1   1   1 755
739   0   0   0   0   0   0   0   0   0   0   0   0   0  87   1   1   1   1   1 126  21   1   1   1   1 756
740   0   0   0   0   0   0   0   0   0   0   0   0   0  86   1   1   1   1   1 126  21   1   1   1   1 757
741   0   0   0   0   0   0   0   0   0   0   0   0   0  85   1   1   1   1   1 126  21   1   1   1   1 758
742   0   0   0   0   0   0   0   0   0   0   0   0   0  84   1   1   1   1   1 126  21   1   1   1   1 759
743   0   0   0   0   0   0   0   0   0   0   0   0   0  83   1   1   1   1   1 126  21   1   1   1   1 760
744   0   0   0   0   0   0   0   0   0   0   0   0   0  82   1   1   1   1   1 126  21   1   1   1   1 761
745   0   0   0   0   0   0   0   0   0   0   0   0   0  81   1   1   1   1   1 126  21   1   1   1   1 762
746   0   0   0   0   0   0   0   0   0   0   0   0   0  80   1   1   1   1   1 126  21   1   1   1   1 763
747   0   0   0   0   0   0   0   0   0   0   0   0   0  79   1   1   1   1   1 126  21   1   1   1   1 764
748   0   0   0   0   0   0   0   0   0   0   0   0   0  78   1   1   1   1   1 126  21   1   1   1   1 765
749   0   0   0   0   0   0   0   0   0   0   0   0   0  77   1   1   1   1   1 126  21   1   1   1   1 766
750   0   0   0   0   0   0   0   0   0   0   0   0   0  76   1   1   1   1   1 126  21   1   1   1   1 767
751   0   0   0   0   0   0   0   0   0   0   0   0   0  75   1   1   1   1   1 126  21   1   1   1   1 768
752   0   0   0   0   0   0   0   0   0   0   0   0   0  74   1   1   1   1   1 126  21   1   1   1   1 769
753   0   0   0   0   0   0   0   0   0   0   0   0   0  73   1   1   1   1   1 126  21   1   1   1   1 770
754   0   0   0   0   0   0   0   0   0   0   0   0   0  72   1   1   1   1   1 126  21   1   1   1   1 771
755   0   0   0   0   0   0   0   0   0   0   0   0   0  71   1   1   1   1   1 126  21   1   1   1   1 772
756   0   0   0   0   0   0   0   0   0   0   0   0   0  70   1   1   1   1   1 126  21   1   1   1   1 773
757   0   0   0   0   0   0   0   0   0   0   0   0   0  69   1   1   1   1   1 126  21   1   1   1   1 774
758   0   0   0   0   0   0   0   0   0   0   0   0   0  68   1   1   1   1   1 126  21   1   1   1   1 775
759   0   0   0   0   0   0   0   0   0   0   0   0   0  67   1   1   1   1   1 126  21   1   1   1   1 776
760   0   0   0   0   0   0   0   0   0   0   0   0   0  66   1   1   1   1   1 126  21   1   1   1   1 777
761   0   0   0   0   0   0   0   0   0   0   0   0   0  65   1   1   1   1   1 126  21   1   1   1   1 778
762   0   0   0   0   0   0   0   0   0   0   0   0   0  64   1   1   1   1   1 126  21   1   1   1   1 779
763   0   0   0   0   0   0   0   0   0   0   0   0   0  63   1   1   1   1   1 126  21   1   1   1   1 780
764   0   0   0   0   0   0   0   0   0   0   0   0   0  62   1   1   1   1   1 126  21   1   1   1   1 781
765   0   0   0   0   0   0   0   0   0   0   0   0   0  61   1   1   1   1   1 126  21   1   1   1   1 782
766   0   0   0   0   0   0   0   0   0   0   0   0   0  60   1   1   1   1   1 126  21   1   1   1   1 783
767   0   0   0   0   0   0   0   0   0   0   0   0   0  59   1   1   1   1   1 126  21   1   1   1   1 784
768   0   0   0   0   0   0   0   0   0   0   0   0   0  58   1   1   1   1   1 126  21   1   1   1   1 785
769   0   0   0   0   0   0   0   0   0   0   0   0   0  57   1   1   1   1   1 126  21   1   1   1   1 786
