21 67
P2 +
R24 -
L22 -
F6 +
K51 -
R76 +
B46 -
U43 +
R7 -
G74 +
H71 +
H18 +
Q60 +
M13 +
A38 -
D7 +
U63 +
K60 +
L70 +
C20 -
G16 +
I23 -
C23 -
U56 +
E41 +
N11 +
B72 -
N37 -
R4 +
O17 +
I32 +
C69 -
R2 +
R13 +
D54 +
A63 +
D73 +
B37 -
V46 +
G40 +
J18 -
C13 +
A24 +
M55 -
Q66 -
C1 -
L6 +
O3 -
Q72 -
L54 -
V43 -
D6 +
N68 -
E17 -
C7 -
G33 +
I16 +
N23 -
M25 +
G69 +
S47 -
K8 +
F1 +
T70 -
K58 -
U28 +
U40 +
N28 +
A3 -
P57 +
E61 -
A16 -
C9 +
A18 -
M57 -
U32 +
H52 -
J28 -
V9 +
C6 +
L7 -
S34 -
T63 -
J72 -
T71 -
V57 +
T49 +
F38 -
C41 +
M5 +
S68 +
P51 -
O49 +
P13 +
L65 +
U54 -
O54 -
I38 -
P58 -
G35 +
E37 -
D64 -
K21 +
H63 +
U35 -
P25 -
A28 +
K47 +
O62 -
C58 +
L58 -
E34 +
I19 -
E12 +
N75 +
N40 +
U30 +
V41 -
U61 -
H64 +
M52 -
A1 -
D15 -
Q32 +
T58 -
H45 +
P31 -
D76 +
E13 -
Q64 +
M10 +
O28 -
V7 +
N34 +
H44 -
I24 -
M4 -
N73 +
K26 +
U62 +
H1 -
U44 -
B52 -
U50 +
O72 -
T66 -
B76 +
R43 +
H24 -
Q65 +
C16 -
G63 -
V58 -
D42 -
E22 -
T62 +
O76 +
G48 -
K41 -
E31 +
H68 +
O12 +
C56 -
N74 +
O33 +
Q23 +
D47 -
A22 -
O50 -
M3 -
K73 -
H10 +
A73 +
S44 -
C11 +
I25 -
V23 -
V40 +
S70 +
N65 +
O6 +
J55 +
R72 -
F5 +
N56 -
C46 +
F64 -
M32 -
M60 +
K67 -
M1 +
P27 +
K33 +
F27 +
B25 +
R23 +
Q18 +
N26 -
A56 +
S39 +
D9 -
G71 -
H38 -
Q27 -
F7 +
N53 -
G58 -
P46 -
D71 -
K62 +
V18 -
Q17 +
M42 +
I18 -
K44 -
T18 +
G50 -
G76 -
B32 +
I12 -
S17 +
G53 -
H9 +
M45 +
H57 -
N54 +
M44 -
F17 -
N5 +
Q47 +
A41 +
T41 +
U27 -
E48 +
O26 +
J47 +
E38 -
V36 -
E5 -
R61 -
M35 -
K42 +
R36 +
S38 +
P8 +
M31 -
R45 -
J15 +
S49 +
L50 -
J41 -
A15 -
H54 +
C55 -
J29 +
Q15 +
L24 +
G7 +
T47 +
P40 +
T19 -
I10 -
E76 +
D17 -
G34 +
Q14 +
A36 +
P33 +
K45 -
L27 +
I5 -
N58 +
H3 +
B47 +
U75 +
K35 -
D67 -
M59 -
F43 -
K7 -
H55 +
G28 -
Q61 -
F69 +
R56 -
J34 +
J27 -
O47 -
H70 +
E75 -
T38 -
B66 -
J22 -
V49 -
D61 -
A45 +
B48 +
P6 -
A44 -
A6 -
P4 +
A5 +
B58 -
I35 +
B33 +
B21 -
T75 -
M18 +
E49 -
E72 -
T40 -
R40 -
A31 -
E70 -
U45 -
U29 +
M14 -
L33 +
L29 +
C24 +
K69 +
I30 -
B69 +
H28 +
G4 +
O16 +
I70 -
S21 +
V31 -
P26 +
R22 +
I63 +
F15 +
P54 -
Q48 -
Q19 +
K66 -
P60 -
B64 +
L34 -
K76 -
G5 +
B40 -
J75 +
V53 +
J66 -
M76 -
G75 -
B73 -
Q20 -
T50 +
I33 -
V6 +
T68 -
R3 -
G21 +
K18 -
C28 -
B44 +
E42 -
M70 -
J14 +
K17 +
L66 -
N47 -
O52 +
F54 -
E29 -
P1 -
R20 +
L68 +
R52 +
N13 -
R44 -
Q26 -
K52 -
O7 -
N16 +
R57 +
Q28 -
V29 +
R10 -
D13 +
E43 -
B12 +
N27 +
C53 +
C18 +
E69 +
L32 -
P45 -
K40 +
H47 +
Q8 +
I66 +
D38 -
A60 +
E52 +
F23 +
U14 -
H26 +
J26 +
O37 +
B54 +
E64 +
L26 -
B30 +
N17 -
J37 +
V42 +
I56 -
R14 +
U49 +
T46 -
P72 -
F68 -
C32 -
Q59 -
Q30 +
N15 -
J31 +
S29 +
M9 +
C63 -
S69 +
D36 +
B45 +
V75 -
M29 -
C64 +
A35 -
I50 -
Q56 +
H36 +
O8 -
Q37 +
Q29 +
L40 +
T55 -
T34 -
P5 +
H58 +
J21 -
I31 +
O42 +
E4 +
V22 +
S61 -
E28 +
L59 -
G38 -
K9 +
G19 -
F28 -
H29 -
R60 -
F8 -
S59 +
H21 -
F24 +
P75 +
Q1 +
S32 -
B2 +
O70 -
G67 +
J48 +
O66 -
E63 -
B51 +
A8 +
J62 -
I71 +
F30 +
C66 -
S20 -
A46 +
Q21 -
B16 +
C34 +
L69 -
Q38 +
G14 +
F47 +
B24 -
S2 -
K70 -
U12 -
A51 +
D12 -
B59 +
K13 +
S26 +
L74 +
N44 +
S36 +
T59 +
L60 +
K74 +
G60 +
D58 +
O36 -
R49 -
S5 +
F62 +
E6 +
H37 +
V74 -
N41 -
O31 +
T30 +
U25 +
N19 +
Q55 +
S56 +
J1 +
S48 +
R1 +
J76 -
E56 -
E55 -
L53 +
H67 -
D75 -
V11 -
U67 -
K15 -
F9 -
U8 +
M56 +
S55 +
G27 +
P35 -
E47 -
D27 +
G72 -
A21 -
K31 -
I20 -
O68 +
L19 +
P74 +
I45 +
V17 -
A67 -
S33 -
S74 +
B23 -
H11 +
L2 -
P43 +
P37 -
A9 -
C42 -
G29 -
N33 -
I60 +
B19 -
V70 -
S54 -
T67 +
U68 -
B10 +
F56 +
H23 +
D45 +
Q9 +
L23 +
M73 -
F37 -
I43 +
A72 -
D65 -
P19 -
N10 +
V68 +
R48 -
I57 +
H2 +
J71 +
U10 -
O73 -
Q45 -
O53 +
I27 +
H20 -
L25 -
O20 -
I4 -
T29 -
C15 -
D35 +
P50 +
C30 +
A26 +
J16 -
F50 -
O5 -
N32 +
J43 +
E10 -
O21 -
U13 +
N4 +
O27 -
G44 -
K50 -
I41 -
S60 -
P42 +
O25 -
V55 -
C59 -
O1 +
G47 -
P52 -
I67 +
C71 -
L10 -
79
B61
N51
P14
G18
M38
T57
F26
G54
H46
R50
C36
P48
H50
B6
O64
B67
P32
T1
P30
S53
M21
J8
A32
F60
G32
T22
Q22
D39
K28
M19
T51
V34
J53
P28
R74
B70
B13
H19
G23
P64
R54
A61
A13
Q36
J63
U69
C10
G39
U51
V21
L8
N70
A62
R53
J52
C26
B68
L42
Q5
N50
F57
Q52
C22
S75
T26
J9
V56
B27
U24
V26
B20
B17
N25
G57
I39
I11
H65
T8
A12
0 0
